"","stfid","sumlevel","st_fips","cnty_fips","cnty_sub_fips","tract_fips","block_group","cong_dist","sch_dist_sec","sch_dist_ele","drive0913","drive0913_moe"
"146","5500582375","060","55","5","82375",NA,NA,NA,NA,NA,0.863970588235294,0.0244192250923972
"147","5500700000","060","55","7","00000",NA,NA,NA,NA,NA,NA,NA
"148","5500703225","060","55","7","03225",NA,NA,NA,NA,NA,NA,NA
"149","5500704725","060","55","7","04725",NA,NA,NA,NA,NA,0.925558312655087,0.0508200675462485
"150","5500704750","060","55","7","04750",NA,NA,NA,NA,NA,0.878571428571429,0.143593365308428
"151","5500705350","060","55","7","05350",NA,NA,NA,NA,NA,0.779605263157895,0.113776738425316
"152","5500705375","060","55","7","05375",NA,NA,NA,NA,NA,0.838095238095238,0.247143829790455
"153","5500705475","060","55","7","05475",NA,NA,NA,NA,NA,0.900552486187845,0.129323747955294
"154","5500706200","060","55","7","06200",NA,NA,NA,NA,NA,0.814814814814815,0.0403281099667657
"155","5500711675","060","55","7","11675",NA,NA,NA,NA,NA,0.910493827160494,0.0672367443046167
"156","5500715750","060","55","7","15750",NA,NA,NA,NA,NA,0.816901408450704,0.122612697529152
"157","5500719662","060","55","7","19662",NA,NA,NA,NA,NA,0.896551724137931,0.0818640403237028
"158","5500720887","060","55","7","20887",NA,NA,NA,NA,NA,0.897674418604651,0.0560513772426067
"159","5500722925","060","55","7","22925",NA,NA,NA,NA,NA,0.911392405063291,0.0385950319537339
"160","5500730175","060","55","7","30175",NA,NA,NA,NA,NA,0.782608695652174,0.0725895710360175
"161","5500736300","060","55","7","36300",NA,NA,NA,NA,NA,0.914634146341463,0.273520035115766
"162","5500737200","060","55","7","37200",NA,NA,NA,NA,NA,0.795918367346939,0.0690240956216001
"163","5500739025","060","55","7","39025",NA,NA,NA,NA,NA,0.887892376681614,0.0419426163462616
"164","5500739425","060","55","7","39425",NA,NA,NA,NA,NA,0.828125,0.0615673413123877
"165","5500744275","060","55","7","44275",NA,NA,NA,NA,NA,0.958762886597938,0.376128472161484
"166","5500749900","060","55","7","49900",NA,NA,NA,NA,NA,1,0.0909090909090907
"167","5500749925","060","55","7","49925",NA,NA,NA,NA,NA,0.920634920634921,0.295554238549949
"168","5500755375","060","55","7","55375",NA,NA,NA,NA,NA,0.886363636363636,0.427169421487603
"169","5500760275","060","55","7","60275",NA,NA,NA,NA,NA,0.703125,0.356032040493594
"170","5500760775","060","55","7","60775",NA,NA,NA,NA,NA,0.865168539325843,0.0450600314805549
"171","5500762700","060","55","7","62700",NA,NA,NA,NA,NA,0.990291262135922,0.40388922529968
"172","5500764512","060","55","7","64512",NA,NA,NA,NA,NA,0.777777777777778,0.0785913663134772
"173","5500770300","060","55","7","70300",NA,NA,NA,NA,NA,0.793650793650794,0.0731709877562928
"174","5500780750","060","55","7","80750",NA,NA,NA,NA,NA,0.920529801324503,0.0839160476385952
"175","5500783525","060","55","7","83525",NA,NA,NA,NA,NA,0.770456960680127,0.0349282497551299
"176","5500783550","060","55","7","83550",NA,NA,NA,NA,NA,0.941860465116279,0.247725092678685
"177","5500901150","060","55","9","01150",NA,NA,NA,NA,NA,0.909593804330646,0.0317464944344151
"178","5500903425","060","55","9","03425",NA,NA,NA,NA,NA,0.939122337329764,0.0272194065729923
"179","5500906350","060","55","9","06350",NA,NA,NA,NA,NA,0.93928035982009,0.0416172912548249
"180","5500919700","060","55","9","19700",NA,NA,NA,NA,NA,0.854990583804143,0.0770124531234703
"181","5500919775","060","55","9","19775",NA,NA,NA,NA,NA,0.890270665691295,0.0210124846390995
"182","5500922225","060","55","9","22225",NA,NA,NA,NA,NA,0.900237529691211,0.137240928959139
"183","5500929550","060","55","9","29550",NA,NA,NA,NA,NA,0.866666666666667,0.0394498953659307
"184","5500931000","060","55","9","31000",NA,NA,NA,NA,NA,0.888339406559084,0.0152105319800539
"185","5500931025","060","55","9","31025",NA,NA,NA,NA,NA,0.89507299270073,0.0477973316337357
"186","5500935150","060","55","9","35150",NA,NA,NA,NA,NA,0.869578404610252,0.0465775791416598
"187","5500935325","060","55","9","35325",NA,NA,NA,NA,NA,0.891927083333333,0.0363290850928861
"188","5500935950","060","55","9","35950",NA,NA,NA,NA,NA,0.948237059264816,0.0380643028137969
"189","5500936425","060","55","9","36425",NA,NA,NA,NA,NA,0.849931787175989,0.0546203341386384
"190","5500942900","060","55","9","42900",NA,NA,NA,NA,NA,0.935535858178888,0.0797521517245447
"191","5500943090","060","55","9","43090",NA,NA,NA,NA,NA,0.895080023710729,0.0538738631127283
"192","5500954300","060","55","9","54300",NA,NA,NA,NA,NA,0.847746650426309,0.036844727778914
"193","5500956575","060","55","9","56575",NA,NA,NA,NA,NA,0.931919642857143,0.157113214063143
"194","5500963075","060","55","9","63075",NA,NA,NA,NA,NA,0.920704845814978,0.0460962555564644
"195","5500965675","060","55","9","65675",NA,NA,NA,NA,NA,0.968401486988848,0.0818257539584937
"196","5500968875","060","55","9","68875",NA,NA,NA,NA,NA,0.906878306878307,0.160790741477708
"197","5500972200","060","55","9","72200",NA,NA,NA,NA,NA,0.929761904761905,0.102949358138074
"198","5500977975","060","55","9","77975",NA,NA,NA,NA,NA,0.957542768273717,0.0319912209104702
"199","5500989150","060","55","9","89150",NA,NA,NA,NA,NA,0.949119373776908,0.0595556032110495
"200","5500989175","060","55","9","89175",NA,NA,NA,NA,NA,0.867590454195535,0.173948770821586
"201","5501101225","060","55","11","01225",NA,NA,NA,NA,NA,0.843205574912892,0.194704299538001
"202","5501101250","060","55","11","01250",NA,NA,NA,NA,NA,0.899280575539568,0.0542760831741624
"203","5501106675","060","55","11","06675",NA,NA,NA,NA,NA,0.870466321243523,0.330365714457952
"204","5501111025","060","55","11","11025",NA,NA,NA,NA,NA,0.875318066157761,0.0554215587034769
"205","5501111062","060","55","11","11062",NA,NA,NA,NA,NA,0.953959484346225,0.0518235916069401
"206","5501112500","060","55","11","12500",NA,NA,NA,NA,NA,0.795454545454545,0.110073695652777
"207","5501116025","060","55","11","16025",NA,NA,NA,NA,NA,0.84,0.0698787521353952
"208","5501117737","060","55","11","17737",NA,NA,NA,NA,NA,0.907216494845361,0.260289722120928
"209","5501120575","060","55","11","20575",NA,NA,NA,NA,NA,0.715827338129496,0.0960629597414009
"210","5501126850","060","55","11","26850",NA,NA,NA,NA,NA,0.853427895981087,0.1011235426923
"211","5501129225","060","55","11","29225",NA,NA,NA,NA,NA,0.815217391304348,0.122656114777196
"212","5501129375","060","55","11","29375",NA,NA,NA,NA,NA,0.738181818181818,0.0965522860898891
"213","5501144300","060","55","11","44300",NA,NA,NA,NA,NA,0.824175824175824,0.0417637170821155
"214","5501150075","060","55","11","50075",NA,NA,NA,NA,NA,0.959537572254335,0.057617876243718
"215","5501152175","060","55","11","52175",NA,NA,NA,NA,NA,0.942372881355932,0.052393934019472
"216","5501153450","060","55","11","53450",NA,NA,NA,NA,NA,0.820652173913043,0.276944449407611
"217","5501153600","060","55","11","53600",NA,NA,NA,NA,NA,0.881789137380192,0.094503073940081
"218","5501153625","060","55","11","53625",NA,NA,NA,NA,NA,0.82051282051282,0.212205702192643
"219","5501153850","060","55","11","53850",NA,NA,NA,NA,NA,0.68361581920904,0.22831390362345
"220","5501155450","060","55","11","55450",NA,NA,NA,NA,NA,0.883522727272727,0.0644461695782444
"221","5501155950","060","55","11","55950",NA,NA,NA,NA,NA,0.933333333333333,0.0085951464914718
